rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd
18,2968,2968,1003,상행,구파발행 - 종로3가방면,1003000331,1003000329,1003000330,을지로3가,2,01000구파발0,"1002,1003","1002000203,1003000330",일반,0,3148,4,구파발,2023-11-21 10:36:01,을지로3가 출발,을지로3가,2
28,2968,2968,1004,상행,당고개행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01000당고개0,"1002,1004","1002000226,1004000433",일반,0,4564,0,당고개,2023-11-21 10:34:32,사당 도착,사당,1
78,2968,2968,1005,상행,방화행 - 애오개방면,1005000532,1005000530,1005000531,충정로,2,01000방화0,"1002,1005","1002000243,1005000531",일반,60,5560,1,방화,2023-11-21 10:36:05,충정로 전역출발,충정로,3
87,2968,2968,1005,상행,방화행 - 화곡방면,1005000519,1005000517,1005000518,까치산,2,01000방화0,"1002,1005","1002002344,1005000518",일반,60,5078,1,방화,2023-11-21 10:36:05,까치산 전역출발,까치산,3
89,2968,2968,1092,상행,북한산우이행 - 보문방면,1092004713,1092004712,1092004713,신설동,2,01000북한산우이0,"1001,1002,1092","1001000126,1002002114,1092004713",일반,0,1149,941,북한산우이,2023-11-21 10:35:04,신설동 진입,신설동,0
96,2968,2968,1002,외선,성수행 - 합정방면,1002000240,1002000238,1002000239,홍대입구,3,01000성수0,"1002,1063,1065","1002000239,1063075314,1065006503",일반,2,2179,88,성수,2023-11-21 10:36:20,홍대입구 진입,홍대입구,0
101,2968,2968,1001,상행,소요산행 - 종각방면,1001000133,1001000131,1001000132,시청,2,01000소요산0,"1001,1002","1001000132,1002000201",일반,0,0056,190,소요산,2023-11-21 10:36:11,시청 도착,시청,1
103,2968,2968,1002,외선,신도림지선행 - 신도림방면,1002002342,1002000234,1002002341,도림천,1,01000신도림지선0,1002,1002002341,일반,5,5555,49,신도림지선,2023-11-21 10:36:20,도림천 진입,도림천,0
104,2968,2968,1002,외선,신도림지선행 - 도림천방면,1002002343,1002002341,1002002342,양천구청,1,01000신도림지선0,1002,1002002342,일반,2,5555,49,신도림지선,2023-11-21 10:31:30,양천구청 진입,양천구청,0
105,2968,2968,1002,외선,신도림지선행 - 양천구청방면,1002002344,1002002342,1002002343,신정네거리,1,01000신도림지선0,1002,1002002343,일반,15,5555,49,신도림지선,2023-11-21 10:27:00,신정네거리 진입,신정네거리,0
112,2968,2968,1002,외선,신설동행 - 성수방면,1002002112,1002000211,1002002111,용답,1,01000신설동0,1002,1002002111,일반,5,1559,47,신설동,2023-11-21 10:31:50,용답 도착,용답,1
113,2968,2968,1002,외선,신설동행 - 용답방면,1002002113,1002002111,1002002112,신답,1,01000신설동0,1002,1002002112,일반,5,1559,47,신설동,2023-11-21 10:34:00,신답 도착,신답,1
