분류,행사명,시작일,종료일,장소,가장 가까운 역,거리(미터)
콘서트,마포아트센터 M 레트로 시리즈 2024 신년맞이 어떤가요 #7,2024.1.18 0:00,2024.1.18 0:00,마포아트센터 아트홀 맥 ,서강대역,927.9485014860999
콘서트,딕펑스×두번째달_Spice of life,2023.12.23 0:00,2023.12.23 0:00,꿈의숲 퍼포먼스홀,광운대역,1599.310586286685
전시/미술,서울일러스트레이션페어V.16,2023.12.21 0:00,2023.12.24 0:00,코엑스 B&D1홀,선릉역,1259.1279111531608
콘서트,2023 마포아트센터 송년콘서트 [나윤선 ANOTHER CHRISTMAS],2023.12.20 0:00,2023.12.20 0:00,마포아트센터 아트홀 맥트 ,서강대역,927.9485014860999
무용,2023 M 송년시리즈 발레 [호두까기 인형],2023.12.15 0:00,2023.12.17 0:00,마포아트센터 아트홀맥,서강대역,927.9485014860999
클래식,"[서울시합창단 제 167회 정기연주회] 헨델, 오라토리오 메시아",2023.12.14 0:00,2023.12.15 0:00,세종체임버홀,서울역(경의선),2044.0443473650962
콘서트,"[2023 카즈미 타테이시 트리오 내한공연] 크리스마스, 재즈를 만나다",2023.12.10 0:00,2023.12.10 0:00,마포아트센터 아트홀 맥,서강대역,927.9485014860999
콘서트,[서울마포음악창작소] 2023 M 인디열전 ♪ EXTENSION 공연,2023.12.8 0:00,2023.12.9 0:00,마포아트센터 아트홀맥,서울역(경의선),1168.8694865622608
국악,[너나나시리즈] 국악뮤지컬 제비씨의 크리스마스,2023.12.8 0:00,2023.12.9 0:00,금나래아트홀,금천구청역,170.13877233869096
전시/미술,서울시립미술관 [우리가 모여 산을 이루는 이야기],2023.12.7 0:00,2024.3.3 0:00,서울시립미술관 서소문본관 3층,서울역(경의선),1075.546389925713
국악,2023 믹스드 오케스트라 Ⅱ [소리의 색채],2023.12.7 0:00,2023.12.7 0:00,세종대극장,서울역(경의선),2044.0443473650962
축제-기타,[M클래식 축제] 마포공연예술관광페스티벌 [타케자와 유토 피아노 리사이틀],2023.12.7 0:00,2023.12.7 0:00,마포아트센터 아트홀 맥,서강대역,927.9485014860999
축제-기타,[M클래식 축제] 마포공연예술관광페스티벌 킷 암스트롱 피아노 리사이틀,2023.12.6 0:00,2023.12.6 0:00,마포아트센터 아트홀맥,서강대역,927.9485014860999
클래식, M 아티스트 2023 김도현 피아노 리사이틀 II,2023.12.5 0:00,2023.12.5 0:00,마포아트센터 아트홀맥,서강대역,927.9485014860999
클래식,선우예권&국립슬로박필하모닉오케스트라,2023.12.2 0:00,2023.12.2 0:00,강동아트센터 대극장 한강,덕소역,6027.376338643684
국악,"2023 국악대학전 내일의 예인 홍솔휘, 이가현가단",2023.11.30 0:00,2023.11.30 0:00,서울돈화문국악당,서울역(경의선),3061.0627891640656
클래식,[서울시립교향악단] 2023 서울시향 얍 판 츠베덴의 베토벤 삼중 협주곡 ①,2023.11.30 0:00,2023.11.30 0:00,롯데콘서트홀,수서역,2919.104646360205
클래식,뮌헨 필하모닉 내한공연,2023.11.29 0:00,2023.11.29 0:00,세종대극장,서울역(경의선),2044.0443473650962
국악,"2023 국악대학전 내일의 예인 윤주연, 신별하",2023.11.29 0:00,2023.11.29 0:00,서울돈화문국악당,서울역(경의선),3061.0627891640656
전시/미술,2023 세종미술관 기획전시 [필묵변혁-송수남 황창배],2023.11.28 0:00,2024.1.14 0:00,"세종미술관 1관,세종미술관 2관",서울역(경의선),2044.0443473650962
클래식,브런치콘서트 [이달의 공연] 11월 클래식과 재즈의 더 배틀,2023.11.28 0:00,2023.11.28 0:00,구로아트밸리 예술극장,구로역,956.6549783335595
국악,"2023 국악대학전 내일의 예인 김은유, 이수흔",2023.11.28 0:00,2023.11.28 0:00,서울돈화문국악당,서울역(경의선),3061.0627891640656
콘서트,[중구문화재단] 월요극장4 - 뷰티풀 데이즈 with V.O.S,2023.11.27 0:00,2023.11.27 0:00,충무아트센터 중극장 블랙,왕십리역,1902.5974567777855
