분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(X좌표),경도(Y좌표),유무료,문화포털상세URL
콘서트,마포구,마포아트센터 M 레트로 시리즈 2024 신년맞이 어떤가요 #7,2024-01-18~2024-01-18,마포아트센터 아트홀 맥 ,마포문화재단, 취학아동 이상 (2017년 포함 이전 출생자)," R석 66,000원/ S석 55,000원/ A석 44,000원","조성모, 뱅크(정시로)",,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2285&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=43bd8ae3612e4cb2bb3a7edf9186efbf&thumb=Y,2023.10.30,기관,2024.1.18 0:00,2024.1.18 0:00,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143909&menuNo=200008
콘서트,강북구,딕펑스×두번째달_Spice of life,2023-12-23~2023-12-23,꿈의숲 퍼포먼스홀,세종문화회관,만 8세 이상,"전석 45,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34449&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d5e5494491b1481081180ac991c410db&thumb=Y,2023.9.19,기관,2023.12.23 0:00,2023.12.23 0:00,,37.62025446,127.0443247,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143406&menuNo=200008
전시/미술,강남구,서울일러스트레이션페어V.16,2023-12-21~2023-12-24,코엑스 B&D1홀,기타,누구나,"성인 13,000원, 청소년 8,000원",,,,http://seoulillustrationfair.co.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cc68500bcc0a4e0f89143a5a89d5facb&thumb=Y,2023.10.18,시민,2023.12.21 0:00,2023.12.24 0:00,,37.5103947,127.0611127,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143763&menuNo=200009
콘서트,마포구,2023 마포아트센터 송년콘서트 [나윤선 ANOTHER CHRISTMAS],2023-12-20~2023-12-20,마포아트센터 아트홀 맥트 ,마포문화재단,8세 이상,"R석(1층) 55,000원/ S석(2층) 35,000원"," 나윤선, 막심 산체스, 토니 팰만",,,http://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2280&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1d32080e118249d7b74dbbeb7109611d&thumb=Y,2023.10.19,기관,2023.12.20 0:00,2023.12.20 0:00,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143792&menuNo=200008
무용,마포구,2023 M 송년시리즈 발레 [호두까기 인형],2023-12-15~2023-12-17,마포아트센터 아트홀맥,마포문화재단,48개월 이상," R석 70,000원 S석 60,000원 A석 50,000원",,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2279&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f624469769504fa6a08d8fac8646e373&thumb=Y,2023.10.19,기관,2023.12.15 0:00,2023.12.17 0:00,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143791&menuNo=200008
클래식,종로구,"[서울시합창단 제 167회 정기연주회] 헨델, 오라토리오 메시아",2023-12-14~2023-12-15,세종체임버홀,세종문화회관,만 7세 이상,"전석 30,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33868&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f8ac574a2e6b4e498421d4ed8438a6c7&thumb=Y,2023.10.19,기관,2023.12.14 0:00,2023.12.15 0:00,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143797&menuNo=200008
콘서트,마포구,"[2023 카즈미 타테이시 트리오 내한공연] 크리스마스, 재즈를 만나다",2023-12-10~2023-12-10,마포아트센터 아트홀 맥,기타,만 7세 이상,"VIP석 77,000원 / R석 66,000원 / S석 55,000원 / A석 44,000원",,"Let It Snow, White Christmas 등 재즈로 즐기는 크리스마스의 특별한 선율",,https://tickets.interpark.com/goods/23012376,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1d4309b7571e4ad5aab07a8811b72f91&thumb=Y,2023.9.11,시민,2023.12.10 0:00,2023.12.10 0:00,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143244&menuNo=200008
콘서트,마포구,[서울마포음악창작소] 2023 M 인디열전 ♪ EXTENSION 공연,2023-12-08~2023-12-09,마포아트센터 아트홀맥,마포문화재단,8세 이상,"티켓 R석 : 30,000원 / 티켓 S석 : 20,000원",,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_top_str=%EC%9D%B8%EB%94%94&pk_seq=2274&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=86b2edb7cbce492ebb5995c0a51c3b78&thumb=Y,2023.10.11,기관,2023.12.8 0:00,2023.12.9 0:00,,37.55506905,126.9575349,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143653&menuNo=200008
국악,금천구,[너나나시리즈] 국악뮤지컬 제비씨의 크리스마스,2023-12-08~2023-12-09,금나래아트홀,금천문화재단,36개월 이상,전석 2만원,,,,https://gcfac.or.kr/performance/commonView?gcfac_menu_cd=U0007&currRow=1&seq_no=3569&perDisGubun=performance&returnURI=%2Fperformance%2FcurrentList&serhDate=&serhPerforDisplay=&serhTitle=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ae60e64ee94d456e9ee738db4debe1ea&thumb=Y,2023.10.18,기관,2023.12.8 0:00,2023.12.9 0:00,기타,37.45657850809659,126.89597253576768,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143782&menuNo=200008
전시/미술,중구,서울시립미술관 [우리가 모여 산을 이루는 이야기],2023-12-07~2024-03-03,서울시립미술관 서소문본관 3층,서울시청,누구나,,,,,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1233185,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=488b87e776a044b5bf376755084cf08d&thumb=Y,2023.10.13,기관,2023.12.7 0:00,2024.3.3 0:00,기타,37.56410607,126.9736993,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143690&menuNo=200009
